"HSSD500","SCANNET200","SCANNET200_proximity","NYU40","NYU40_proximity","MPCAT40","MPCAT40_proximity","COCO80","COCO80_proximity"
"medicine_chest","file cabinet","0.8634","cabinet","0.8621","cabinet","0.8621","book","0.8174"
"microphone","headphones","0.9135","picture","0.8864","objects","0.8891","bottle","0.8963"
"microwave","microwave","1.0","picture","0.8881","misc","0.8921","microwave","1.0"
"mirror","mirror","1.0","mirror","1.0","mirror","1.0","cell phone","0.8716"
"mixer","machine","0.8803","counter","0.8512","appliances","0.8701","bowl","0.8523"
"mixing_bowl","bowl","0.9415","sink","0.881","sink","0.881","bowl","0.9415"
"mobile","machine","0.9271","picture","0.9248","picture","0.9248","cell phone","0.9288"
"monitor","monitor","1.0","television","0.933","tv_monitor","0.9719","tv","0.9382"
"motorcycle","bicycle","0.9481","picture","0.8957","picture","0.8957","motorcycle","1.0"
"mousepad","laptop","0.875","desk","0.8578","picture","0.8439","laptop","0.875"
"music_stand","music stand","1.0","desk","0.8519","stool","0.8403","chair","0.8325"
"napkin","paper","0.9062","paper","0.9062","towel","0.8979","cup","0.8784"
"net","basket","0.8775","picture","0.8773","picture","0.8773","tennis racket","0.8613"
"nightstand","nightstand","1.0","night_stand","0.9628","chest_of_drawers","0.8697","bed","0.8346"
"notebook","book","0.9324","books","0.9216","picture","0.8862","book","0.9324"
"notepad","paper","0.9304","paper","0.9304","picture","0.9067","book","0.9135"
"ottoman","ottoman","1.0","otherfurniture","0.8662","furniture","0.8615","chair","0.8419"
"oven","oven","1.0","box","0.8954","appliances","0.9176","oven","1.0"
"overnighter","picture","0.8985","picture","0.8985","picture","0.8985","oven","0.8857"
"pan","picture","0.9002","picture","0.9002","picture","0.9002","bowl","0.8993"
"paper_organizer","storage organizer","0.9324","paper","0.8776","shelving","0.8672","book","0.8756"
"paper_towel","paper towel roll","0.9755","paper","0.9169","towel","0.912","sandwich","0.8897"
"paperweight","object","0.8686","paper","0.865","objects","0.8626","bowl","0.8619"
"parrot","person","0.894","picture","0.8911","picture","0.8911","bird","0.9264"
"pathway_light","light","0.9152","lamp","0.8632","lighting","0.8932","traffic light","0.8204"
"pedestal_sink","toilet","0.8752","toilet","0.8752","toilet","0.8752","toilet","0.8752"
"pendant_lamp","ceiling light","0.9143","lamp","0.8973","lighting","0.8732","clock","0.8212"
"penguin","person","0.8581","picture","0.8434","picture","0.8434","bird","0.8742"
"pepper_mill","bottle","0.8496","lamp","0.8308","objects","0.8161","bottle","0.8496"
"person","person","1.0","picture","0.9503","picture","0.9503","person","1.0"
"pestle","bowl","0.8831","toilet","0.8465","toilet","0.8465","bowl","0.8831"
"pet_bed","bed","0.9284","bed","0.9284","bed","0.9284","bed","0.9284"
"pet_bowl","bowl","0.9515","toilet","0.8754","toilet","0.8754","bowl","0.9515"
"pet_house","structure","0.9149","otherfurniture","0.8814","appliances","0.8916","bus","0.8866"
"piano","piano","1.0","desk","0.8848","furniture","0.8824","keyboard","0.9125"
"picnic_rug","blanket","0.8701","floor_mat","0.8509","towel","0.8446","bed","0.8271"
"picnic_table","bench","0.8923","table","0.8888","table","0.8888","bench","0.8923"
"picture_frame","picture","0.9038","picture","0.9038","picture","0.9038","tv","0.8796"
"piggy_bank","trash bin","0.8955","picture","0.8857","misc","0.894","cup","0.88"
"pinball_machine","machine","0.8446","desk","0.8261","counter","0.82","tv","0.8253"
"pitcher","water pitcher","0.9051","toilet","0.8148","plant","0.8315","cup","0.8441"
"place_mat","plate","0.8861","table","0.8644","table","0.8644","dining table","0.8572"
"place_setting","dining table","0.8954","table","0.8776","table","0.8776","dining table","0.8954"
"plant","plant","1.0","picture","0.9075","plant","1.0","potted plant","0.9508"
"plant_stand","potted plant","0.8891","table","0.8598","plant","0.8832","potted plant","0.8891"
"planter","plant","0.9297","box","0.8764","plant","0.9297","potted plant","0.929"
"plate","plate","1.0","picture","0.9128","picture","0.9128","bowl","0.9144"
"play_area","structure","0.8686","otherfurniture","0.8522","gym_equipment","0.8672","train","0.8395"
"playhouse","structure","0.8949","otherfurniture","0.8815","furniture","0.8931","bus","0.8809"
"playpen","bed","0.8781","bed","0.8781","bed","0.8781","bed","0.8781"
"plaything","picture","0.8879","picture","0.8879","picture","0.8879","person","0.8704"
"plush_toy","stuffed animal","0.9415","pillow","0.8945","cushion","0.8924","person","0.8756"
"pond","plant","0.8744","picture","0.8662","plant","0.8744","boat","0.9039"
"pool_table","coffee table","0.8602","desk","0.8572","table","0.8408","dining table","0.8519"
"postbox","mailbox","0.911","box","0.8398","toilet","0.8368","parking meter","0.8585"
"poster","poster","1.0","picture","0.8709","picture","0.8709","book","0.8513"
"potholder","purse","0.8835","bag","0.8808","cushion","0.8717","handbag","0.8719"
"potted_plant","potted plant","1.0","picture","0.8601","plant","0.9508","potted plant","1.0"
"power_saw","machine","0.8917","box","0.867","furniture","0.8671","knife","0.8849"
"printer","printer","1.0","paper","0.9141","picture","0.8998","laptop","0.8911"
"projector","projector","1.0","picture","0.8892","picture","0.8892","tv","0.891"
"punch_bowl","bowl","0.8732","table","0.8185","table","0.8185","bowl","0.8732"
"punching_bag","bag","0.8475","bag","0.8475","picture","0.8293","backpack","0.8366"
"purse","purse","1.0","bag","0.948","clothes","0.8962","handbag","0.9649"
"quilt","blanket","0.8916","pillow","0.8587","cushion","0.8605","bed","0.8495"
"rack","rack","1.0","shelves","0.8718","shelving","0.8763","truck","0.8479"
"radiator","radiator","1.0","wall","0.8642","furniture","0.8697","refrigerator","0.8614"
"radio_receiver","machine","0.8877","television","0.8877","appliances","0.8835","tv","0.8723"
"railing","stair rail","0.9229","wall","0.854","railing","1.0","bench","0.8615"
"range_hood","range hood","1.0","shelves","0.8262","appliances","0.8288","oven","0.8381"
"reamer","pipe","0.8656","otherprop","0.8534","beam","0.8477","knife","0.8809"
"recliner","armchair","0.9373","chair","0.9314","chair","0.9314","chair","0.9314"
"record_player","laptop","0.8766","books","0.8762","picture","0.8642","laptop","0.8766"
"refrigerator","refrigerator","1.0","refridgerator","0.9481","appliances","0.9133","refrigerator","1.0"
"revolving_door","door","0.8608","door","0.8608","door","0.8608","bus","0.7681"
"roaster","machine","0.8603","counter","0.8244","appliances","0.8539","oven","0.8601"
"rock","structure","0.8874","wall","0.8852","wall","0.8852","boat","0.8821"
"rocking_chair","chair","0.9288","chair","0.9288","chair","0.9288","chair","0.9288"
"roof","structure","0.9192","ceiling","0.8915","ceiling","0.8915","boat","0.8777"
"room_divider","divider","0.9117","bookshelf","0.8694","shelving","0.8732","dining table","0.8501"
"round_daybed","bed","0.8536","bed","0.8536","bed","0.8536","bed","0.8536"
"rug","mat","0.9089","floor_mat","0.9234","floor","0.8989","bed","0.859"
"safe","container","0.9094","box","0.9023","objects","0.8868","cup","0.8921"
"salver","plate","0.8891","table","0.8246","table","0.8246","bowl","0.8755"
"saucepan","coffee kettle","0.9047","picture","0.878","misc","0.8801","spoon","0.9007"
"sauna","furniture","0.8614","toilet","0.858","furniture","0.8614","toilet","0.858"
"scooter","bicycle","0.8747","toilet","0.8455","toilet","0.8455","motorcycle","0.897"
"screen","tv","0.9323","television","0.9261","tv_monitor","0.928","tv","0.9323"
"sculpture","decoration","0.9093","otherprop","0.869","furniture","0.8751","book","0.8628"
"seat_cushion","seat","0.9461","chair","0.9097","cushion","0.9397","chair","0.9097"
"serving_cart","cart","0.9053","desk","0.8822","table","0.876","dining table","0.869"
"sewing_machine","machine","0.8908","clothes","0.8797","clothes","0.8797","laptop","0.8571"
"shed","storage container","0.905","box","0.8878","picture","0.8853","truck","0.8877"
"sheep","picture","0.8826","picture","0.8826","picture","0.8826","sheep","1.0"
"shelving","shelf","0.9657","shelves","0.9838","shelving","1.0","book","0.8827"
"shoe","shoe","1.0","picture","0.9147","picture","0.9147","person","0.9047"
"shoe_rack","shelf","0.8968","shelves","0.9021","shelving","0.9083","chair","0.8422"
"shoebox","box","0.9544","box","0.9544","picture","0.9023","truck","0.8831"
"shopping_bag","bag","0.9587","bag","0.9587","clothes","0.8942","handbag","0.9259"
"shot_glass","cup","0.9238","picture","0.8991","misc","0.8999","cup","0.9238"
"shower_caddy","shower","0.8698","shower_curtain","0.8415","shower","0.8698","sink","0.8225"
"shower_curtain","shower curtain","1.0","shower_curtain","1.0","curtain","0.8737","toilet","0.811"
"shower_door","shower door","1.0","door","0.9165","shower","0.9226","toilet","0.8589"
"shower_faucet","shower head","0.951","sink","0.8901","shower","0.9377","sink","0.8901"
"shower_pan","shower head","0.9374","bathtub","0.8912","shower","0.9248","sink","0.885"
"shower_stall","shower wall","0.9397","shower_curtain","0.9108","shower","0.9255","toilet","0.8708"
"showerhead","shower head","0.9642","shower_curtain","0.8451","shower","0.9174","hair drier","0.8411"
"side_table","end table","0.9581","table","0.9342","table","0.9342","dining table","0.9065"
"single_bed","bed","0.9623","bed","0.9623","bed","0.9623","bed","0.9623"
"sink","sink","1.0","sink","1.0","sink","1.0","sink","1.0"
"sink_cabinet","sink","0.9472","sink","0.9472","sink","0.9472","sink","0.9472"
"sink_stand","sink","0.9541","sink","0.9541","sink","0.9541","sink","0.9541"
"skateboard","board","0.8762","picture","0.8464","picture","0.8464","skateboard","1.0"
"slide","tube","0.882","picture","0.8645","seating","0.868","train","0.8422"
"sliding_door","door","0.9271","door","0.9271","door","0.9271","refrigerator","0.8538"
"smoke_detector","fire alarm","0.9075","picture","0.8553","appliances","0.8576","bowl","0.8458"
"soap","soap dish","0.946","paper","0.8742","shower","0.8826","cup","0.8815"
"soap_dish","soap dish","1.0","sink","0.8663","sink","0.8663","bowl","0.8883"
"soap_dispenser","soap dispenser","1.0","toilet","0.8559","toilet","0.8559","toilet","0.8559"
"soccer_ball","ball","0.9353","picture","0.8713","picture","0.8713","sports ball","0.9366"
"socket","power outlet","0.9506","picture","0.9011","objects","0.9049","cup","0.8951"
"soda_can","cup","0.9233","clothes","0.8825","misc","0.891","cup","0.9233"
"sofa","sofa chair","0.9695","sofa","1.0","sofa","1.0","couch","0.9682"
"spade","broom","0.8924","picture","0.8822","picture","0.8822","knife","0.8939"
"spectacles","headphones","0.8341","books","0.831","objects","0.8392","person","0.8296"
"spice_holder","bottle","0.8736","shelves","0.869","shelving","0.8661","bottle","0.8736"
"spice_rack","bookshelf","0.8693","shelves","0.874","shelving","0.8665","spoon","0.8281"
"spicemill","object","0.8912","picture","0.886","misc","0.8891","person","0.8893"
"spoon","cup","0.9074","picture","0.9019","misc","0.9047","spoon","1.0"
"stairway","stairs","0.9716","shelves","0.8635","stairs","0.9716","chair","0.8477"
"step_ladder","ladder","0.9624","shelves","0.8968","stairs","0.8994","chair","0.8833"
"step_stool","stool","0.9247","bookshelf","0.8826","stool","0.9247","chair","0.8689"
"stool","stool","1.0","chair","0.9269","stool","1.0","chair","0.9269"
"storage_bench","furniture","0.915","otherfurniture","0.9044","furniture","0.915","bench","0.9042"
"storage_box","storage bin","0.9699","box","0.9578","picture","0.8919","suitcase","0.9082"
"stove","stove","1.0","television","0.8735","appliances","0.9079","oven","0.9289"
"straight_chair","chair","0.9816","chair","0.9816","chair","0.9816","chair","0.9816"
"strainer","bucket","0.8838","picture","0.88","picture","0.88","cup","0.8834"
"streetlight","lamp","0.9067","lamp","0.9067","lighting","0.8956","traffic light","0.8962"
"string_lights","light","0.9022","lamp","0.8848","lighting","0.9115","cup","0.8269"
"subwoofer","speaker","0.8797","television","0.8246","tv_monitor","0.808","tv","0.8187"
"sugar_bowl","bowl","0.9262","picture","0.8597","picture","0.8597","bowl","0.9262"
"surfboard","board","0.883","clothes","0.856","clothes","0.856","surfboard","1.0"
"swimming_pool","structure","0.8772","bathtub","0.8499","seating","0.8513","boat","0.8866"
"swing","chair","0.8481","chair","0.8481","seating","0.8485","chair","0.8481"
"swing_bench","bench","0.9142","chair","0.8473","seating","0.8567","bench","0.9142"
"swing_chair","chair","0.9087","chair","0.9087","chair","0.9087","chair","0.9087"
"switch","picture","0.9253","picture","0.9253","picture","0.9253","cell phone","0.9055"
"swivel_chair","chair","0.9481","chair","0.9481","chair","0.9481","chair","0.9481"
"table","table","1.0","table","1.0","table","1.0","dining table","0.9579"
"table-tennis_table","table","0.8224","table","0.8224","table","0.8224","dining table","0.818"
"table_lamp","lamp","0.9455","lamp","0.9455","table","0.8904","dining table","0.8865"
"table_mirror","mirror","0.9409","mirror","0.9409","mirror","0.9409","dining table","0.8622"
"table_runner","table","0.8782","table","0.8782","table","0.8782","dining table","0.8727"
"tablet_computer","laptop","0.8843","television","0.8488","tv_monitor","0.8751","laptop","0.8843"
"tapestry","curtain","0.8538","curtain","0.8538","curtain","0.8538","tv","0.8118"
"teapot","coffee kettle","0.9265","picture","0.8779","picture","0.8779","cup","0.9047"
"telephone","telephone","1.0","picture","0.8931","picture","0.8931","cell phone","0.9342"
"telescope","structure","0.8358","otherprop","0.8181","gym_equipment","0.822","bicycle","0.8146"
"television_receiver","tv","0.9276","television","0.9452","tv_monitor","0.9043","tv","0.9276"
"tent","structure","0.8817","bag","0.8783","bed","0.8752","car","0.8757"
"thermos","water bottle","0.9212","picture","0.8874","misc","0.8906","cup","0.9171"
"throw","ball","0.9091","clothes","0.8725","clothes","0.8725","sports ball","0.8894"
"throw_pillow","pillow","0.9488","pillow","0.9488","cushion","0.9298","couch","0.8926"
"timer","clock","0.925","picture","0.9133","picture","0.9133","clock","0.925"
"tissue_box","tissue box","1.0","box","0.9094","picture","0.8629","cup","0.8609"
"toaster","toaster","1.0","picture","0.8843","misc","0.885","toaster","1.0"
"toaster_oven","toaster oven","1.0","picture","0.8746","picture","0.8746","toaster","0.9584"
"toilet","toilet","1.0","toilet","1.0","toilet","1.0","toilet","1.0"
"toilet_bag","bag","0.9509","bag","0.9509","toilet","0.9141","backpack","0.9219"
"toilet_brush","plunger","0.9086","toilet","0.9076","toilet","0.9076","toothbrush","0.9124"
"toilet_flush_plate","toilet","0.9237","toilet","0.9237","toilet","0.9237","toilet","0.9237"
"toilet_paper_holder","toilet paper holder","1.0","toilet","0.9126","toilet","0.9126","toilet","0.9126"
"toilet_tissue","toilet paper","0.98","toilet","0.918","toilet","0.918","toilet","0.918"
"toiletry","toilet","0.9195","toilet","0.9195","toilet","0.9195","toilet","0.9195"
"towel","towel","1.0","towel","1.0","towel","1.0","sandwich","0.8634"
"towel_rack","toilet paper holder","0.8912","towel","0.8901","towel","0.8901","toilet","0.8234"
"towel_rail","towel","0.8677","towel","0.8677","towel","0.8677","toilet","0.8158"
"towel_ring","towel","0.869","towel","0.869","towel","0.869","toilet","0.8266"
"toy_box","box","0.9229","box","0.9229","chest_of_drawers","0.8865","suitcase","0.8797"
"track_lighting","light","0.9128","lamp","0.9015","lighting","0.9415","traffic light","0.8452"
"trailer","container","0.9214","box","0.9049","appliances","0.9043","truck","0.9355"
"trampoline","bed","0.8324","bed","0.8324","bed","0.8324","bed","0.8324"
"tray","tray","1.0","table","0.9181","table","0.9181","bowl","0.8948"
"treadmill","printer","0.876","picture","0.8654","gym_equipment","0.8725","keyboard","0.8638"
"tree","plant","0.9076","picture","0.8978","plant","0.9076","truck","0.899"
"trellis","structure","0.8624","otherstructure","0.8477","wall","0.8458","potted plant","0.8134"
"trunk","box","0.8493","box","0.8493","cabinet","0.841","truck","0.8543"
"tumbler","cup","0.8932","picture","0.8635","picture","0.8635","cup","0.8932"
"tureen","bowl","0.886","table","0.8512","table","0.8512","bowl","0.886"
"tv_stand","tv stand","1.0","television","0.9193","tv_monitor","0.9075","tv","0.9288"
"umbrella","bag","0.8625","bag","0.8625","shower","0.855","umbrella","1.0"
"umbrella_stand","stool","0.8806","otherfurniture","0.8422","stool","0.8806","umbrella","0.8935"
"urinal","toilet","0.9066","toilet","0.9066","toilet","0.9066","toilet","0.9066"
"utensil","cup","0.903","picture","0.8998","misc","0.9026","spoon","0.9443"
"vacuum","vacuum cleaner","0.9789","picture","0.902","picture","0.902","person","0.8881"
"valve","tube","0.8988","otherprop","0.8791","appliances","0.8708","bottle","0.878"
"vase","cup","0.8938","lamp","0.8708","plant","0.8777","vase","1.0"
"video_game_console","tv","0.8993","television","0.902","appliances","0.8772","tv","0.8993"
"videodisk","cd case","0.9134","television","0.8907","tv_monitor","0.8732","tv","0.8847"
"wall_art","wall","0.9171","wall","0.9171","wall","0.9171","clock","0.8449"
"wall_calendar","calendar","0.9518","wall","0.8577","wall","0.8577","clock","0.8232"
"wall_clock","clock","0.9557","wall","0.8629","wall","0.8629","clock","0.9557"
"wall_decor","decoration","0.926","wall","0.9132","wall","0.9132","clock","0.8647"
"wall_hook","light switch","0.9046","wall","0.8884","wall","0.8884","fork","0.8627"
"wall_hook_rack","coat rack","0.8767","shelves","0.8654","shelving","0.8792","clock","0.8212"
"wall_lamp","lamp","0.9164","lamp","0.9164","lighting","0.8776","clock","0.8417"
"wall_mirror","mirror","0.9387","mirror","0.9387","mirror","0.9387","clock","0.8338"
"wall_organizer","storage organizer","0.9231","wall","0.909","wall","0.909","refrigerator","0.8348"
"wall_panel","wall","0.9393","wall","0.9393","wall","0.9393","tv","0.8555"
"wall_shelf","shelf","0.9691","shelves","0.9534","shelving","0.9481","book","0.8465"
"wall_shelving","shelf","0.9422","shelves","0.9636","shelving","0.9817","book","0.8503"
"wall_sign","sign","0.9531","wall","0.8859","wall","0.8859","clock","0.8406"
"wall_socket","power outlet","0.9409","wall","0.8807","wall","0.8807","toilet","0.8659"
"wall_sticker","wall","0.8551","wall","0.8551","wall","0.8551","clock","0.7989"
"wall_unit","tv stand","0.9018","shelves","0.9014","shelving","0.9123","tv","0.8796"
"wardrobe","wardrobe","1.0","clothes","0.9255","clothes","0.9255","refrigerator","0.8853"
"washbasin","toilet","0.9118","toilet","0.9118","toilet","0.9118","toilet","0.9118"
"washer","washing machine","0.9664","clothes","0.9133","clothes","0.9133","oven","0.8942"
"water_scooter","vacuum cleaner","0.847","otherprop","0.8219","toilet","0.8191","skateboard","0.8357"
"watering_can","bucket","0.8903","bag","0.8444","plant","0.8241","cup","0.8634"
"weight","scale","0.9354","picture","0.9168","picture","0.9168","person","0.9064"
"whiteboard","whiteboard","1.0","whiteboardperson","0.9639","picture","0.8682","laptop","0.8562"
"wind_chime","clothes dryer","0.8438","picture","0.8152","picture","0.8152","wine glass","0.8227"
"window","window","1.0","window","1.0","window","1.0","car","0.8766"
"window_blind","blinds","0.9387","blinds","0.9387","blinds","0.9387","knife","0.8498"
"window_curtain","curtain","0.9513","curtain","0.9513","curtain","0.9513","tv","0.8242"
"window_shade","window","0.9324","window","0.9324","window","0.9324","cup","0.8396"
"wine_bottle","bottle","0.9561","picture","0.89","picture","0.89","bottle","0.9561"
"wine_bucket","bucket","0.9433","bag","0.8661","toilet","0.8574","wine glass","0.9066"
"wine_rack","bookshelf","0.8604","shelves","0.8606","shelving","0.8691","wine glass","0.8509"
"wineglass","cup","0.9095","picture","0.8747","picture","0.8747","wine glass","0.9853"
"wok","bowl","0.8682","sink","0.8355","sink","0.8355","bowl","0.8682"
"workbench","desk","0.9285","desk","0.9285","table","0.8957","dining table","0.8911"
"wreath","decoration","0.8684","picture","0.8586","picture","0.8586","clock","0.8453"
